Index,Year,TOTAL DEMAND
0,1999/1,7388.750349428763
1,1999/2,7451.936976651786
2,1999/3,7447.480914932796
3,1999/4,7246.099671166667
4,1999/5,7692.162162461227
5,1999/6,8334.84006838082
6,1999/7,8330.12071673387
7,1999/8,8056.997557862904
8,1999/9,7563.006452479167
9,1999/10,7239.879810692204
10,1999/11,7267.029905444444
11,1999/12,7147.177035913978
0,2000/1,7153.719298340054
1,2000/2,7841.741259518679
2,2000/3,7641.366135601883
3,2000/4,7274.353948090277
4,2000/5,8041.999961944818
5,2000/6,8801.711098131946
6,2000/7,8636.469047237904
7,2000/8,8494.011333725623
8,2000/9,7638.673703611112
9,2000/10,7395.758661478495
10,2000/11,7529.682048659723
11,2000/12,7642.244717930107
12,2001/1,7893.4223420094095
13,2001/2,8068.361298459822
14,2001/3,7629.7671740322585
15,2001/4,7395.407238809192
16,2001/5,8170.596764327957
17,2001/6,8532.013750520833
18,2001/7,8714.304712090054
19,2001/8,8489.234242856182
20,2001/9,7747.408597138889
21,2001/10,7593.693866532259
22,2001/11,7676.9010439375
23,2001/12,7586.034035551075
24,2002/1,7835.759268689515
25,2002/2,7922.072157700893
26,2002/3,7804.105277627687
27,2002/4,7690.495635368055
28,2002/5,8309.129172237903
29,2002/6,8846.462240791667
30,2002/7,9139.340992372312
31,2002/8,8614.67087688172
32,2002/9,7948.300746423612
33,2002/10,7773.814408555108
34,2002/11,8014.421049743055
35,2002/12,7767.5914897043
36,2003/1,8081.243519247312
37,2003/2,8274.406336912201
38,2003/3,7823.066409032259
39,2003/4,7711.565592555556
40,2003/5,8282.95832219758
41,2003/6,8686.9483529375
42,2003/7,9147.07584561828
43,2003/8,8846.483435241937
44,2003/9,8245.439273215277
45,2003/10,7928.682002768816
46,2003/11,7904.558050979167
47,2003/12,8028.168414005377
48,2004/1,8264.308221283602
49,2004/2,8679.508801443966
50,2004/3,8156.183864321237
51,2004/4,7859.769861069444
52,2004/5,8465.867219919353
53,2004/6,9102.510791666666
54,2004/7,9344.92292452957
55,2004/8,8950.04462140457
56,2004/9,8354.957869152779
57,2004/10,8011.184739159946
58,2004/11,8194.075773159722
59,2004/12,8049.777121391128
60,2005/1,8270.94188387769
61,2005/2,8591.596569940475
62,2005/3,8232.883000672044
63,2005/4,8173.352866944446
64,2005/5,8589.832896444892
65,2005/6,9206.451099506945
66,2005/7,9242.160054879032
67,2005/8,9173.984288756721
68,2005/9,8495.653009173611
69,2005/10,8104.697453024194
70,2005/11,8298.713270868056
71,2005/12,8550.4161659543
72,2006/1,8713.889340215053
73,2006/2,8912.256126071428
74,2006/3,8610.70753125
75,2006/4,8168.556912048612
76,2006/5,8975.097543756721
77,2006/6,9901.760868055555
78,2006/7,9733.135107526881
79,2006/8,9434.97315860215
80,2006/9,8678.848972222222
81,2006/10,8410.371995967742
82,2006/11,8669.055590277778
83,2006/12,8396.444086021505
84,2007/1,8908.332896505377
85,2007/2,9107.874873511906
86,2007/3,8847.740981182797
87,2007/4,8190.127805555555
88,2007/5,8674.608340053765
89,2007/6,9826.330958333332
90,2007/7,10077.13815860215
91,2007/8,9338.147600806451
92,2007/9,8683.228493055556
93,2007/10,8511.480161290323
94,2007/11,8712.525104166665
95,2007/12,8458.785893817205
96,2008/1,8906.887688172044
97,2008/2,8670.544533045977
98,2008/3,8593.203897849462
99,2008/4,8580.75692361111
100,2008/5,9049.347224462366
101,2008/6,9344.135166666667
102,2008/7,10034.939751344087
103,2008/8,9971.018978494623
104,2008/9,8972.002743055555
105,2008/10,8547.583891129032
106,2008/11,8527.61520138889
107,2008/12,8392.48115591398
108,2009/1,9107.612426075268
109,2009/2,9147.043348214285
110,2009/3,8578.238844086021
111,2009/4,8245.557395833333
112,2009/5,8753.62613575269
113,2009/6,9524.133249999999
114,2009/7,9572.360759408602
115,2009/8,8989.920745967742
116,2009/9,8462.932708333334
117,2009/10,8404.21997983871
118,2009/11,8950.156631944445
119,2009/12,8671.035920698925
120,2010/1,8953.633575268817
121,2010/2,9167.294129464286
122,2010/3,8712.729516129033
123,2010/4,8205.799027777777
124,2010/5,8806.905463709676
125,2010/6,9543.244465277778
126,2010/7,9687.554791666667
127,2010/8,9266.094247311827
128,2010/9,8537.39925
129,2010/10,8200.484610215055
130,2010/11,8368.738541666668
131,2010/12,8252.714274193548
132,2011/1,8827.227170698925
133,2011/2,9247.07828125
134,2011/3,8592.832883064515
135,2011/4,8189.931569444445
136,2011/5,9068.062197580646
137,2011/6,9474.737020833334
138,2011/7,9558.218111559141
139,2011/8,9024.847204301075
140,2011/9,8447.95272222222
141,2011/10,8141.058958333334
142,2011/11,8387.457534722222
143,2011/12,7816.3480241935495
144,2012/1,8331.779448924732
145,2012/2,8398.865416666667
146,2012/3,8091.246807795699
147,2012/4,7938.778909722221
148,2012/5,8664.236525537633
149,2012/6,9147.8329375
150,2012/7,8992.102305107528
151,2012/8,8670.829784946238
152,2012/9,7779.867493055555
153,2012/10,7570.487271505375
154,2012/11,7760.173666666667
155,2012/12,7690.443622311827
156,2013/1,8351.854139784948
157,2013/2,8156.578504464285
158,2013/3,7909.033870967741
159,2013/4,7569.936104166665
160,2013/5,8088.339516129032
161,2013/6,8602.262055555555
162,2013/7,8613.65307795699
163,2013/8,8190.293239247312
164,2013/9,7520.161118055556
